customer_id,customer_name,city,state,registration_date,customer_segment
91676,Customer_91676,Charlotte,MI,2023-02-10,Standard
91677,Customer_91677,New York,CA,2022-11-16,Standard
91678,Customer_91678,New York,FL,2022-11-13,VIP
91679,Customer_91679,Columbus,MI,2022-03-16,VIP
91680,Customer_91680,Atlanta,CA,2022-10-05,Standard
91681,Customer_91681,Houston,GA,2023-07-06,Standard
91682,Customer_91682,Columbus,IL,2023-05-01,Standard
91683,Customer_91683,Columbus,TX,2023-05-17,Standard
91684,Customer_91684,Columbus,OH,2023-03-27,Premium
91685,Customer_91685,New York,MI,2023-10-11,Premium
91686,Customer_91686,Atlanta,NC,2022-10-28,VIP
91687,Customer_91687,Detroit,NC,2022-12-13,Premium
91688,Customer_91688,Atlanta,IL,2023-08-07,Premium
91689,Customer_91689,Chicago,IL,2023-08-03,VIP
91690,Customer_91690,Columbus,IL,2022-10-10,Standard
91691,Customer_91691,Columbus,IL,2022-05-05,Standard
91692,Customer_91692,Detroit,OH,2023-05-29,Premium
91693,Customer_91693,Miami,NC,2023-07-04,VIP
91694,Customer_91694,Chicago,WA,2022-08-21,Standard
91695,Customer_91695,Seattle,NY,2023-01-24,VIP
91696,Customer_91696,Seattle,WA,2023-06-12,Standard
91697,Customer_91697,Detroit,NC,2022-01-06,Premium
91698,Customer_91698,Charlotte,IL,2023-07-09,VIP
91699,Customer_91699,Houston,MI,2023-08-18,Premium
91700,Customer_91700,Chicago,NC,2023-06-23,Premium
91701,Customer_91701,Los Angeles,MI,2023-06-21,VIP
91702,Customer_91702,Los Angeles,NY,2023-12-22,Standard
91703,Customer_91703,Detroit,IL,2022-03-05,Standard
91704,Customer_91704,Chicago,MI,2023-08-24,Premium
91705,Customer_91705,Los Angeles,OH,2022-07-17,Standard
91706,Customer_91706,Columbus,MI,2022-06-20,VIP
91707,Customer_91707,Detroit,OH,2022-01-21,VIP
91708,Customer_91708,Atlanta,MI,2023-03-26,Premium
91709,Customer_91709,Detroit,CA,2023-09-05,Standard
91710,Customer_91710,New York,NY,2023-02-04,Standard
91711,Customer_91711,Houston,WA,2022-10-19,Premium
91712,Customer_91712,Detroit,OH,2022-10-27,VIP
91713,Customer_91713,Atlanta,NY,2023-06-24,VIP
91714,Customer_91714,Los Angeles,OH,2022-03-08,VIP
91715,Customer_91715,Charlotte,OH,2023-05-03,Standard
91716,Customer_91716,Chicago,OH,2022-12-30,VIP
91717,Customer_91717,Detroit,FL,2022-12-30,VIP
91718,Customer_91718,Los Angeles,FL,2022-05-13,Standard
91719,Customer_91719,Detroit,IL,2022-12-10,VIP
91720,Customer_91720,Atlanta,FL,2023-12-28,VIP
91721,Customer_91721,Charlotte,TX,2022-08-24,Standard
91722,Customer_91722,Charlotte,IL,2023-09-08,Premium
91723,Customer_91723,Charlotte,GA,2022-03-09,Premium
91724,Customer_91724,Seattle,WA,2023-10-04,Premium
91725,Customer_91725,Columbus,OH,2022-07-06,Standard
91726,Customer_91726,Columbus,FL,2022-12-26,Standard
91727,Customer_91727,Miami,WA,2022-11-26,Standard
91728,Customer_91728,Houston,CA,2022-05-22,VIP
91729,Customer_91729,Charlotte,FL,2022-11-25,VIP
91730,Customer_91730,Houston,OH,2022-01-29,VIP
91731,Customer_91731,Houston,NC,2022-01-29,Standard
91732,Customer_91732,Miami,TX,2022-07-17,Premium
91733,Customer_91733,Detroit,WA,2022-02-22,VIP
91734,Customer_91734,Detroit,WA,2023-07-12,Premium
91735,Customer_91735,Detroit,CA,2023-08-13,Standard
91736,Customer_91736,Houston,WA,2023-12-07,Standard
91737,Customer_91737,New York,GA,2023-04-23,VIP
91738,Customer_91738,Chicago,NY,2022-07-25,Standard
91739,Customer_91739,Los Angeles,MI,2023-05-03,Standard
91740,Customer_91740,Los Angeles,GA,2023-02-24,Standard
91741,Customer_91741,Seattle,MI,2022-02-21,Standard
91742,Customer_91742,Miami,TX,2023-11-10,VIP
91743,Customer_91743,Atlanta,WA,2022-06-28,VIP
91744,Customer_91744,Los Angeles,WA,2023-04-27,VIP
91745,Customer_91745,Detroit,IL,2023-06-15,Premium
91746,Customer_91746,Chicago,MI,2023-05-01,Premium
91747,Customer_91747,Seattle,FL,2022-02-27,Standard
91748,Customer_91748,Chicago,NY,2022-07-23,Standard
91749,Customer_91749,Detroit,CA,2022-09-13,Standard
91750,Customer_91750,Seattle,NC,2022-05-17,Standard
91751,Customer_91751,Houston,MI,2022-04-27,VIP
91752,Customer_91752,Charlotte,OH,2023-10-22,Premium
91753,Customer_91753,Columbus,NC,2022-12-13,VIP
91754,Customer_91754,Detroit,OH,2023-05-28,Standard
